simulation,Parameter,Estimate,model
52,sim_wolf,0.15419146992815524,NA
52,sim_lynx,0.17723306132172761,NA
52,sim_fisher,0.0341587098969805,NA
52,NA,NA,sim_global
53,(Intercept),-1.118625477953985,NA
53,sim_nat_land,-0.3361822198237475,NA
53,sim_wide_lf,0.5716117975920383,NA
53,sim_wtd,-0.014251582404626489,NA
53,sim_moose,-0.05696876407079076,NA
53,sim_squirrel,0.0611527975796557,NA
53,sim_hare,0.21601683974590827,NA
53,sim_wolf,0.16911201874687737,NA
53,sim_lynx,0.1463605180964589,NA
53,sim_fisher,0.011759297857316062,NA
53,NA,NA,sim_global
54,(Intercept),-1.1372762794089835,NA
54,sim_nat_land,-0.40986996528086483,NA
54,sim_wide_lf,0.36285512374247975,NA
54,sim_wtd,0.024223545912957105,NA
54,sim_moose,-0.07060553358251088,NA
54,sim_squirrel,0.04843732053490222,NA
54,sim_hare,0.1920193139443922,NA
54,sim_wolf,0.22727979525571385,NA
54,sim_lynx,0.15554189925842515,NA
54,sim_fisher,-0.04661629582962468,NA
54,NA,NA,sim_global
55,(Intercept),-1.6396071175142937,NA
55,sim_nat_land,-0.4568641045267227,NA
55,sim_wide_lf,0.49769225501131475,NA
55,sim_wtd,0.06839562776529018,NA
55,sim_moose,-0.08476121457917796,NA
55,sim_squirrel,0.0877762515998469,NA
55,sim_hare,0.21521740409123452,NA
55,sim_wolf,0.1982868121672175,NA
55,sim_lynx,0.19857504362498807,NA
55,sim_fisher,0.04065689886978646,NA
55,NA,NA,sim_global_int
56,(Intercept),-1.3393712415727337,NA
56,sim_nat_land,-0.5836941277429974,NA
56,sim_wide_lf,0.6975889525571505,NA
56,sim_wtd,0.07071429831692891,NA
56,sim_moose,-0.03364139809155893,NA
56,sim_squirrel,0.10222669065844832,NA
56,sim_hare,0.2072414133938083,NA
56,sim_wolf,0.17851190789586568,NA
56,sim_lynx,0.177104013479629,NA
56,sim_fisher,-0.03489485090279625,NA
56,NA,NA,sim_global
57,(Intercept),-1.6090356302597668,NA
57,sim_nat_land,-0.20777412525974764,NA
57,sim_wide_lf,0.43837340576970574,NA
57,sim_wtd,0.03287840580945233,NA
57,sim_moose,-0.043286934589749734,NA
57,sim_squirrel,0.0724010542952175,NA
57,sim_hare,0.2300157841262861,NA
57,sim_wolf,0.19826560006872826,NA
57,sim_lynx,0.18790648120257045,NA
57,sim_fisher,0.0026691672088851983,NA
57,NA,NA,sim_global
58,(Intercept),-1.1186586364091426,NA
58,sim_nat_land,-0.350085299739436,NA
58,sim_wide_lf,0.4055004313356927,NA
58,sim_wtd,0.027146723312858695,NA
58,sim_moose,-0.033456966516982684,NA
58,sim_squirrel,0.07355606555637056,NA
58,sim_hare,0.13315515625609767,NA
58,sim_wolf,0.18127961772018625,NA
58,sim_lynx,0.1439733031164581,NA
58,sim_fisher,0.002407366324024042,NA
58,NA,NA,sim_global
59,(Intercept),-1.320328097920643,NA
59,sim_nat_land,-0.27252128428891664,NA
59,sim_wide_lf,0.7290334367220541,NA
59,sim_wtd,0.008154921947743712,NA
59,sim_moose,-0.06999326823682842,NA
59,sim_squirrel,0.03455713963143041,NA
59,sim_hare,0.231386790980349,NA
59,sim_wolf,0.199167153556788,NA
59,sim_lynx,0.16692251154487892,NA
59,sim_fisher,0.014217092367140404,NA
59,NA,NA,sim_global
60,(Intercept),-1.1177579476327035,NA
60,sim_nat_land,-0.4956066447645038,NA
60,sim_wide_lf,0.5652504772677225,NA
60,sim_wtd,0.01746098489012668,NA
60,sim_moose,-0.10452354830753718,NA
60,sim_squirrel,0.0659891775654658,NA
60,sim_hare,0.19812103827998234,NA
60,sim_wolf,0.18689986874322817,NA
60,sim_lynx,0.15135581048310148,NA
60,sim_fisher,0.030970456820580507,NA
60,NA,NA,sim_global
61,(Intercept),-1.5438408390775216,NA
61,sim_nat_land,-0.4172049286334891,NA
61,sim_wide_lf,0.627857935504579,NA
61,sim_wtd,0.04826534164442031,NA
61,sim_moose,-0.04179466657403121,NA
61,sim_squirrel,0.14811817255272836,NA
61,sim_hare,0.19526891077539404,NA
61,sim_wolf,0.17027921995215745,NA
61,sim_lynx,0.16329931743897919,NA
61,sim_fisher,-0.06033470841286826,NA
61,NA,NA,sim_global
62,(Intercept),-1.827848060115718,NA
62,sim_nat_land,-0.42428934731065315,NA
62,sim_wide_lf,0.599242254475666,NA
